Index,Hague Convention Partner,Country,GDP (USD),Number of adoptees
1,Hague,Bulgaria,12221.5,108
2,Hague,Colombia,6104.14,297
3,Hague,Dominican Republic,8476.75,17
4,Hague,Haiti,1829.59,54
5,Hague,Hungary,18728.12,17
6,Hague,India,2256.59,245
7,Non-Hague,Jamaica,5183.58,20
8,Hague,Latvia,21148.16,28
9,Non-Hague,Liberia,675.66,27
10,Hague,Mexico,10045.68,27
11,Non-Hague,Morocco,3795.38,30
12,Non-Hague,Nigeria,2065.75,111
13,Hague,Philippines,3460.53,68
14,Non-Hague,Sierra Leone,480.04,1785
15,Non-Hague,South Korea,34997.78,156
16,Non-Hague,Taiwan,33059,48
17,Hague,Thailand,7066.19,38
18,Non-Hague,Ukraine,4835.57,1785